,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量
0,5083241077803016,2390180961,教英语的张建,https://weibo.com/2390180961,09月27日 15:36,考研超话,✅9月英语一最后一课！大家打卡留念，再见面就是十月份，💯距离你上岸更近一步了哦~#考研英语张建##决战考研##考研#沈阳​,,0,13,24
1,5083096259494004,1233628161,周思成,https://weibo.com/1233628161,09月27日 06:00,微博视频号,秋季晨读归来，冲击高分必备！七折入：秋季晨读，冲击高分（七折连日咳嗽，今天晨读文字版了因为养不起大熊猫，芬兰决定提前送回两只熊猫宝🐼#四六级##考研#周思成的微博视频​,,17,137,36
2,5083112245563045,7410904379,奈奈考研日记,https://weibo.com/7410904379,09月27日 07:04,丹丹老师教育学打卡超话,丹丹老师教育学打卡超话丹姐的大题总结来啦太多宝宝私信我，手写的不方便打印看所以……教原的后面部分，我一直停更了因为‼️我在给你们整理成文档的版本了😎今天第一章，给我时间，尽快给你们追平哈#考研##333统考##333教育学综合##311教育学考研#​,,15,15,125
3,5083268204724433,6041271617,众合法硕教育,https://weibo.com/6041271617,09月27日 17:24,,【刑法案例分析题答题技巧】案例分析题答题技巧，马住#考研#考研超话#法硕技术流##法硕#法硕超话​,,41,8,43
4,5083277746243568,1236762247,王江涛老师,https://weibo.com/1236762247,09月27日 18:02,微博网页版,⏰️9月背完这些，你的英语就厉害了！🎯今天送你全套考研英语资料，想要哪个领哪个～🔸10页纸速背2200核心词👉微博正文🔹英语真题高频写作词汇👉微博正文🔸英语二真题高频词785个👉微博正文🔸25考研英语写作必备1000词👉​展开,⏰️9月背完这些，你的英语就厉害了！🎯今天送你全套考研英语资料，想要哪个领哪个～🔸10页纸速背2200核心词👉微博正文🔹英语真题高频写作词汇👉微博正文🔸英语二真题高频词785个👉微博正文🔸25考研英语写作必备1000词👉微博正文🔸25考研必备写作核心主题词👉微博正文🔸7天背完！你的阅读就牛了👉微博正文🔸25考研英语必备短语词组👉微博正文#考研##决战考研##考研英语#,9,0,11
5,5083144879079891,1848595875,晓千老师,https://weibo.com/1848595875,09月27日 09:14,考研数学晓千老师超话,早餐时间，补签24上岸中科院弟子签名祝福感谢遇见，彼此圆满，大家加油考研数学晓千老师超话#考研数学##决战考研##考研上岸##考研##2025考研#青岛晓千老师的微博视频​,,1,6,43
6,5082987645633551,6858194286,考研Neko酱,https://weibo.com/6858194286,09月26日 22:49,考研超话,考研超话听说这个小恐龙很灵？刷到即拥有噢#考研##决战考研##研究生##25考研#​,,1,3,36
7,5083291724285318,7499315148,考研数学冰冰老师,https://weibo.com/7499315148,09月27日 18:57,考研数学杨超超话,下播，彤姐今天学校选修课上了扭扭棒，给我制作了“小礼物”！这也太心灵手巧了叭，这肯定像我啊对叭彤姐说，哥哥姐姐上岸后邮寄给他做礼物🎁心意满满考研数学杨超超话#考研倒计时##决战考研##考研#​,,0,9,9
8,5083154980015214,6489024623,考研的锦鲤,https://weibo.com/6489024623,09月27日 09:54,考研超话,考研超话完形天花板背完直接选答案！#考研##考研英语##25考研#​,,9,1,10
9,5083164541976633,7360696884,鸟山学长,https://weibo.com/7360696884,09月27日 10:32,微博视频号,#25考研##考研#考研被人搞心态？别慌别乱鸟山学长的微博视频​,,1,0,14
10,5083331585377384,5998551319,寒塘-----鹤影,https://weibo.com/5998551319,55秒前,HUAWEI P40 5G,#考研#一年多来第一次专业课模考150，高兴两天以后禁止使用计算器，这感受谁懂啊​,,0,0,0
11,5083331375401642,7744176740,少主回家喽,https://weibo.com/7744176740,09月27日 21:35,山西农业大学超话,山西农业大学超话#考研#出414植物生理学与生物化学复习全套，带笔记​,,0,0,0
12,5083329654951458,2368684615,Hxxvvv_,https://weibo.com/2368684615,09月27日 21:28,iPhone客户端,跨越难度的幸福感，会记一辈子#考研#​,,0,1,0
13,5083329403553903,6858194286,考研Neko酱,https://weibo.com/6858194286,09月27日 21:27,考研超话,考研超话徐涛老师让自己整理的毛文章【更新】#考研##考研政治#​,,0,1,5
14,5082257909614903,5732788718,考研的萌萌酱,https://weibo.com/5732788718,09月27日 21:23,2025考研超话,四个痛苦但很很很有效的背书方法！​​​​#2025考研##考研#​,,22,0,79
15,5083328510430147,6508840659,你算哪块小饼儿啊,https://weibo.com/6508840659,09月27日 21:23,墨墨背单词,💢repression💢瑞怕神因为神教【压抑】【镇压】过他#考研#​,,0,1,0
16,5083328447513373,6124916037,小鱼儿爱月亮,https://weibo.com/6124916037,09月27日 21:23,墨墨背单词,🏁墨墨背单词打卡Day23💻累计学习单词：2585个📅今日学习单词：360个🕙今日记忆次数：1366次🌟今日重点单词：custodyn.监管；拘留；羁押；监护权#考研##背单词#​,,0,1,0
17,5083328344495606,7842551028,小7幸运锦鲤,https://weibo.com/7842551028,09月27日 21:23,考研政治徐涛超话,你们选什么？#一起做个题##考研##决战考研##考研政治##25考研##2025考研##考研政治每日一题#信念有不同的层次和类型，其中​,,0,0,0
18,5083327876828419,7626537614,沈升ircle,https://weibo.com/7626537614,09月27日 21:21,墨墨背单词,🏁墨墨背单词打卡Day206💻累计学习单词：5756个📅今日学习单词：10个🕙今日记忆次数：37次🌟今日重点单词：integrityn.完整；正直；诚实#考研打卡##学习打卡##考研#​,,0,1,0
19,5083327392384103,6600171465,螃蟹都是有蟹黄的,https://weibo.com/6600171465,09月27日 21:19,OPPO Reno6 Pro 5G,#生活手记##考研##考研政治#道理我都懂但是C为什么​,,0,0,0
20,5083327114250253,5350171317,zzyzyyz,https://weibo.com/5350171317,09月27日 21:18,iPhone客户端,#考研#​,,0,1,0
21,5083325314372051,6791642221,纯情的里奇,https://weibo.com/6791642221,09月27日 21:11,iPhone客户端,💢preliminary💢pre(先)limin(黎明)先于黎明，预先的意思#考研##学生党必备#​,,0,1,0
22,5083325312010846,7852636407,怎么什么名都不让叫,https://weibo.com/7852636407,09月27日 21:11,墨墨背单词,💢disruption💢弟是rap神，每次家里都‘混乱’#学习打卡##考研##考研英语#​,,0,1,0
23,5083324396343796,6255259736,青年久久为功,https://weibo.com/6255259736,09月27日 21:07,墨墨背单词,💢outlook💢向外out看look“景色、前景”#英语##学习打卡##背单词##考研##返校季#​,,0,1,0
24,5083324238270601,2876463654,追星什么的很有趣,https://weibo.com/2876463654,09月27日 21:06,墨墨背单词,💢abstract💢“爱不是拽可得”，因为爱是“抽象的、深奥的”。#考研##学习打卡#​,,0,1,0
25,5083322571822490,7600773942,加加冰-,https://weibo.com/7600773942,09月27日 21:00,iPhone客户端,想考上那就再努力一点吧#考研#​,,0,2,0
26,5083322294472069,6998591927,鳤鳤,https://weibo.com/6998591927,09月27日 20:59,iPhone客户端,学习的时候真的听不了外面有唱歌的声音，特别是唱高音……#考研##暴躁##疯了#​,,0,0,0
27,5083321935858473,5899106309,将你我包围-,https://weibo.com/5899106309,09月27日 20:57,iPhone客户端,💢triumph💢“踹俺服”---打到我服你（胜利）#考研英语##考研#​,,0,1,0
28,5083321402917059,7790211587,雯雯要淡定a,https://weibo.com/7790211587,09月27日 20:55,HUAWEI P40 Pro 5G,还有80多天，老娘我拼了!!爱学习的女生最美丽!别管我了!我爱数学!我爱学习!#备考##考研##日常发疯#​,,0,1,1
29,5083321162268728,7741516836,东万200208,https://weibo.com/7741516836,09月27日 20:54,iPhone客户端,💢compact💢“肯派给他”就跟他签合同#考研##学习打卡#​,,0,1,0
30,5083319410888547,5943656291,学姐欣欣呀,https://weibo.com/5943656291,09月27日 20:47,考研英语超话,#考研#考研英语#考研英语#考研英语超话刷到了就花几分钟默背一下吧！说不定有你不知道的词语意思呢！考研英语超话​,,0,0,0
31,5083316789445033,5823171389,辞余生,https://weibo.com/5823171389,09月27日 20:37,微博视频号,研究所报名证件照制作教程，考研证件照制作#证件照##考研##研究生##决战考研#辞余生的微博视频​,,0,0,1
32,5083314535008465,7349115965,宫南风y,https://weibo.com/7349115965,09月27日 20:28,iPhone客户端,💢manifest💢“曼妮烦死他”了很[明显]#考研##背单词#​,,0,0,0
